NO.,County Name,Registered Voters,Total Valid Votes,Rejected Ballots,Raila Odinga,William Ruto,Waihiga Mwaure,George Wajackoyah
1,MOMBASA,642362,277301,3812,161015,113700,482,2104
2,KWALE,328316,179009,1359,125541,51918,413,1137
3,KILIFI,588842,285496,3191,204536,77331,1067,2552
4,TANA RIVER ,141110,93505,1068,51390,41505,198,412
5,LAMU,81468,50070,887,26160,22876,186,848
6,TAITA TAVETA,182126,111494,999,81271,29148,249,826
7,GARISSA,201513,109960,590,81376,28111,77,396
8,WAJIR,207767,133391,1014,83486,49062,217,626
9,MANDERA,217034,135565,846,106279,28351,259,676
10,MARSABIT,166944,114904,481,55675,58782,144,303
11,ISIOLO,89535,58978,536,26449,32302,52,175
12,MERY,772573,506476,4809,103679,398946,1053,2798
13,THARAKA-NITHI,231966,161578,980,15062,145081,461,974
14,EMBU,334684,221048,1899,31209,187981,523,1335
15,KITUI,532833,329073,3324,235402,89419,1412,2840
16,MACHAKOS,687691,410238,3759,304809,101456,1070,2903
17,MAKUENI,479516,290819,1908,229213,59195,575,1836
18,NYANDARUA,361217,240616,1622,49228,189519,821,1048
19,NYERI,482000,326880,2271,52052,272507,982,1339
20,KIRINYAGA,376137,260900,1823,37909,220984,640,1367
21,MURANGA,621027,420343,2554,73526,343349,1530,1938
22,KIAMBU,1275168,825191,5635,210580,606429,3805,4377
23,TURKANA,238554,143532,1099,96117,46696,274,445
24,WEST POKOT,220042,173705,1258,63092,109944,194,375
25,SAMBURU,100052,70348,340,41737,28329,62,220
26,TRANS NZOIA,399230,250513,2470,132440,116776,414,883
27,UASIN GISHU,506317,349863,2083,76009,272868,392,594
28,ELGEYO/MARAKWET,213904,165224,1537,4893,160033,122,176
29,NANDI,406393,307575,1492,26034,280813,281,447
30,BARINGO,281107,217091,1014,41227,175170,220,474
31,LAIKIPIA,263273,169084,1336,48908,119142,432,602
32,NAKURU,1055515,686170,5503,226052,455864,1819,2435
33,NAROK,398852,308432,1597,159455,148310,228,439
34,KAJIADO,463389,308624,1647,158556,148449,686,933
35,KERICHO,428126,334516,1821,15053,318861,207,395
36,BOMET,377023,299606,1545,13383,285428,234,561
37,KAKAMEGA,844709,503719,5562,357857,141166,1237,3459
38,VIHIGA,310063,184333,2115,114714,67633,515,1471
39,BUNGOMA,646612,405151,5516,145280,255906,1581,2384
40,BUSIA,416818,276730,2889,226042,48801,473,1414
41,SIAYA,533602,376354,1894,371092,4320,208,734
42,KISUMU,607496,431005,2572,419997,10011,253,744
43,HOMA BAY,551111,404112,2045,399784,3497,122,709
44,MIGORI,469053,347773,1611,294136,52525,297,815
45,KISII,637111,402836,4391,265078,135326,754,1678
46,NYAMIRA,323283,208651,1997,129025,78356,345,925
47,NAIROBI,2416551,1339367,12869,767395,561775,4390,5807
48,DIASPORA,10443,5988,44,3727,2190,31,40
